;EAN;Désignation;Stock;PVC;;
False;5011013100118;$ BAILEYS 1 L.;162;21.99;;
False;7591156404819;RON SANTA TERESA 1796 70 CL;10;55.99;;
False;8410702010245;$ TAMARÓN CRIANZA 75 CL.;55;7.45;;
False;8412598005121;$#? 1906 RESERVA BOT. 6 X 33 CL;349;6.99;;
False;8412598001666;$#? E.GALICIA 0'0% 6X25 CL;77;3.50;;
False;0000090162800;=$#? RED BULL SUGAR FREE 25 CL;268;1.55;;
False;8432286010886;? SABERY MANZANA S/A 75 CL.;45;2.40;;
False;8432286010893;SABERY MELOCOTÓN S/A 75 CL.;29;2.40;;
False;8432286010909;? SABERY MORA S/A 75 CL.;31;2.40;;
False;8432286008159;? SABERY AVELLANA S/A 75 CL.;36;2.40;;
False;5449000131805;=$#? COCA COLA ZERO 33 CL.;205;0.95;;
False;5449000131843;=$#? COCA COLA ZERO 2 L.;29;2.15;;
False;8413681301236;$?# ALHAMBRA LAGER SINGULAR 33;1029;0.85;;
False;8413681306682;$ ALHAMBRA LAGER SINGULAR12X33;37;9.75;;
False;8437002369170;$# BALTOS ROBLE 75 CL.;50;10.10;;
False;8437002369040;$#? CEPAS VIEJAS 75 CL.;26;16.90;;
False;8437002954123;$? LUNA BEBERIDE JOVEN 75 CL.;18;5.99;;
False;8437003323515;$ LAVEGUILLA CRIANZA 75 CL.;5;11.75;;
False;8410261752037;$? M. DE CASTILLA ROBLE 75 CL.;116;5.99;;
False;8410283346405;CASERA TINTO VERANO 1.5 L;15;2.30;;
False;8410283346504;$# CASERA TTO VER LIMÓN 1.5L;22;2.30;;
False;8411327022286;$ MAHOU CLÁSICA 28 X 33 CL.;436;20.50;;
False;8422711152113;$#? PANIZO ORUJO BLANCO 70 CL.;54;9.75;;
False;8422711152137;$#? PANIZO LICOR DE CAFÉ 70 CL.;68;6.99;;
False;8422711152144;$ PANIZO LICOR DE MIEL 70 CL.;13;8.99;;
False;8422711151048;$#? PANIZO CREMA DE ORUJO 70 CL;104;7.99;;
False;8422711152120;$#? PANIZO LICOR HIERBAS 70 CL.;108;6.89;;
False;8424345043324;$#? VIÑABIER TINTO 75 CL.;88;2.99;;
False;8411327122283;$ MAHOU 5 ESTRELLAS 28 X 33 CL.;405;16.89;;
False;5449000142573;M. MAID LIMON&NADA 1 L.;17;1.69;;
False;8410382001038;$#? AREHUCAS C.ORO 70 CL.;51;13.25;;
False;5449000120991;$#? FANTA ZERO LIMÓN 33 CL.;346;0.80;;
False;8422711152342;PANIZO ORUJO MINIATURA 4 X 5 CL;23;4.50;;
False;8411090019407;>>CRUZCAMPO 12 X 33 CL.;18;5.99;;
False;8436559741996;$? PÉTALOS DEL BIERZO 75 CL.;34;19.99;;
False;5010327755014;$? HENDRICKS 70 CL.;19;32.95;;
False;7622201639846;$? YAYITAS CON MIEL 250GR;61;2.65;;
False;7622201639471;$? YAYITAS CON CHOCOLATE 250GR;52;2.65;;
False;8410127010257;MAIZENA HARINA MAIZ 700 GR;215;4.49;;
False;8410127010691;$? MAIZENA HARINA ESPESANTE 250;111;2.69;;
False;8410127012183;$#? FLANIN NINO 6  FLANES 192G;568;1.90;;
False;8720182988898;# KNORR CREMA CHAMPINONES 62 G;149;1.15;;
False;8720182980953;$ KNORR CREMA ESPARRAGOS 70 G;149;1.15;;
False;8720182969446;$? KNORR SOPA POLLO CAB ANG 71;354;0.85;;
False;8720182969545;$? KNORR SOPA CEBOLLA 50G;243;0.85;;
False;8410276053518;$? LA TOJA A.SHAVE BALSAMO;38;4.95;;
False;8001090441171;CR.OLAY NUTR.REAF/NOCHE;10;13.95;;
False;8411135005501;LECHE HIDR REPARADORA 200 ML;65;5.45;;
False;8436039751743;$? MG CEPILLO RED JABALI MAD;20;4.20;;
False;8436039751750;$? MG CEPILLO NYLON GRANDE;22;3.25;;
False;8436039751767;$ MG CEPILLO NYLON PEQUENO;25;2.40;;
False;8436039751774;$? MG CEPILLO NEUMATIC RAQUE;22;4.80;;
False;8436039751781;$? MG CEPILLO NEUM OVAL GPUA;31;2.99;;
False;8436039751798;$ MG CEPILLO NEUM OVAL PPUA;19;2.25;;
False;8436039751804;$ MG CEPILLO ESQ BOLIT MEDI;15;2.20;;
False;8720181058004;$? AXE TEMPTATIO ANTITRANSI 150;104;3.50;;
False;8436039751811;$ MG CEPILLO BIMAT TERMI GR;16;4.15;;
False;8436039751828;$ MG CEPILLO BIMAT TERMI PQ;18;4.25;;
False;8436039751835;$ MG PEINE AFRO COLOR;13;1.44;;
False;5410908000012;$? CHIMAY ROJA 33 CL.;59;2.29;;
False;8411327000017;$ MAHOU 5 ESTRELLAS 24 X 25 CL.;439;14.99;;
False;8410261141206;$? ANTAÑO JOVEN 75 CL.;211;3.75;;
False;8410337372039;MONTECILLO RESERVA 75 CL.;24;10.99;;
False;8410655001130;SAN MIGUEL 28 X 33 CL.;461;19.19;;
False;8420418007132;$ CONDE CARALT B.NATURE 75 CL.;12;4.99;;
False;8437000663942;? AGUA MINERAL TELENO 5 L.;413;1.45;;
False;8411630050099;$? AGUA FUENSANTA 1.5 L.;697;0.72;;
False;8412138062409;$? CATEDRAL DE LEON BLANCO 75CL;190;2.25;;
False;8412138062201;$#? CATEDRAL DE LEON ROSADO 75C;206;2.25;;
False;8412138062300;$#? CATEDRAL DE LEON TINTO 75 C;258;2.25;;
False;8412138092338;$ DON SUERO RESERVA 75 CL.;51;13.49;;
False;8412138803200;$? VEGA CUBILLAS 75 CL.;176;4.95;;
False;4002160092150;$#? GRANINI NARANJA 1 L.;51;2.65;;
False;8410655000430;$? SAN MIGUEL 50 CL.;490;1.14;;
False;8410655006142;$#? SAN MIGUEL 0'0 % 33 CL.;545;0.74;;
False;8420871400013;$# MARQUÉS DE VIZHOJA 75 CL.;464;4.99;;
False;8414825336633;$#? MARTIN CODAX 75 CL.;97;14.50;;
False;8420378000105;$ YLLERA CRIANZA 75 CL.;168;7.50;;
False;0000054492653;$#? POWERADE ICE STORM 50 CL.;69;1.55;;
False;8410537050126;$ EL COTO DE IMAZ RESERVA 75 CL;112;8.85;;
False;8410406111040;M. DE CÁCERES G. RESERVA 75 CL.;25;20.45;;
False;8410026047545;$? PATERNINA BANDA AZUL 75 CL.;15;6.50;;
False;8410655001208;$#? SAN MIGUEL SELECTA BOT 33 C;188;1.15;;
False;8424487400092;JUVE CAMPS ESENC.PÚRPURA 75 CL.;69;14.95;;
False;8411327022019;$#? MAHOU CLÁSICA 33 CL.;1271;0.79;;
False;5014379003130;BUDWEISER BOT. 33 CL.;48;1.50;;
False;8411327722018;$#? MAHOU SIN 33 CL.;330;0.75;;
False;8410020640803;MASC.GLISS BRILLO 150 ML;16;4.75;;
False;8410020641107;GLISS ANTIPUNTAS ULTIMATE 50ML;20;6.75;;
False;8411732486215;? 12 LIMAS CARTON PEQUENAS;53;1.15;;
False;3360373000081;LOULOU EDP VAPO 50 ML;2;29.95;;
False;4005900986139;LIPOSAN SOFT ROSE 4.8;14;2.59;;
False;8428076000526;DUREX SENSITIVO SUAVE  24 UNID;14;15.60;;
False;8411732104720;$? 5 CEPILLOS INTERDEN FINO;47;2.65;;
False;8411732104928;$? 5 CEPILLOS INTERDE ULT/FI;44;2.65;;
False;8411135005624;$ LACA PERF/FIX EXTRAF 300;22;2.79;;
False;9300631115434;$? VEET CREMA HOMBRES 200 ML;6;4.95;;
